,owner,repository_name,language,size,watchers_count,forks_count,visibility,forks,watchers
117,NVIDIA,fleet-command,Python,89,7,4,public,4,7
118,NVIDIA,flownet2-pytorch,Python,6436,2971,733,public,733,2971
119,NVIDIA,flowtron,Jupyter Notebook,2895,848,173,public,173,848
120,NVIDIA,Forma,C++,243,13,8,public,8,13
121,NVIDIA,framework-reproducibility,Python,1368,405,37,public,37,405
122,NVIDIA,fsi-samples,Jupyter Notebook,157462,261,109,public,109,261
123,NVIDIA,Fuser,C++,11435,165,30,public,30,165
124,NVIDIA,gbm-bench,Python,441,37,23,public,23,37
125,NVIDIA,gdrcopy,C++,630,678,133,public,133,678
126,NVIDIA,gds-nvidia-fs,C,355,115,19,public,19,115
127,NVIDIA,gef-nsight,Java,24820,7,40,public,40,7
128,NVIDIA,gitlab-answer-app,JavaScript,31941,4,3,public,3,4
129,NVIDIA,GMAT,C,30462,127,33,public,33,127
130,NVIDIA,go-dcgm,C,5230,55,14,public,14,55
131,NVIDIA,go-gpuallocator,Go,302,66,19,public,19,66
132,NVIDIA,go-nvlib,Go,760,7,2,public,2,7
133,NVIDIA,go-nvml,C,296,181,42,public,42,181
134,NVIDIA,go-tfdata,Go,3795,13,3,public,3,13
135,NVIDIA,gontainer,Go,642,13,1,public,1,13
136,NVIDIA,GPU-Driver-Container,Shell,5865,21,6,public,6,21
137,NVIDIA,gpu-feature-discovery,Go,8515,214,42,public,42,214
138,NVIDIA,gpu-monitoring-tools,C,6597,977,312,public,312,977
139,NVIDIA,gpu-operator,Go,81198,896,191,public,191,896
140,NVIDIA,gpu-rest-engine,C++,261,420,101,public,101,420
141,NVIDIA,GPUPowerTest,Cuda,1374,20,6,public,6,20
142,NVIDIA,GPUStressTest,C++,294,57,8,public,8,57
143,NVIDIA,grace-kernel,C,2111772,14,1,public,1,14
144,NVIDIA,GraphQSat,C++,211,48,20,public,20,48
145,NVIDIA,grcuda,Java,295,209,19,public,19,209
146,NVIDIA,GTC-2021-A31202-Code,,0,7,1,public,1,7
147,NVIDIA,gvdb-voxels,C,122554,631,144,public,144,631
148,NVIDIA,healthcare-on-tap-TRT-TRITON-demo,Jupyter Notebook,2831,12,3,public,3,12
149,NVIDIA,HMM_sample_code,Cuda,12,10,4,public,4,10
150,NVIDIA,hpc-container-maker,Python,2030,406,81,public,81,406
151,NVIDIA,Imageinary,Python,114,24,11,public,11,24
152,NVIDIA,ipyparaview,Jupyter Notebook,208,90,27,public,27,90
153,NVIDIA,ising-gpu,Cuda,153,28,21,public,21,28
154,NVIDIA,JAX-Toolbox,Python,764,64,13,public,13,64
155,NVIDIA,jetson-gpio,Python,172,774,244,public,244,774
156,NVIDIA,jetson-rdma-picoevb,Tcl,5592,128,38,public,38,128
157,NVIDIA,jitify,C++,551,478,65,public,65,478
158,NVIDIA,k8s-cc-manager,Shell,5691,3,1,public,1,3
159,NVIDIA,k8s-device-plugin,Go,45032,1985,575,public,575,1985
160,NVIDIA,k8s-dra-driver,Go,12501,21,1,public,1,21
161,NVIDIA,k8s-driver-manager,Shell,10685,19,5,public,5,19
162,NVIDIA,k8s-kata-manager,Go,6786,7,0,public,0,7
163,NVIDIA,k8s-operator-libs,Go,11196,10,8,public,8,10
164,NVIDIA,kmeans,Cuda,36,109,33,public,33,109
165,NVIDIA,kokkos,C++,6242,3,2,public,2,3
166,NVIDIA,Korgi,C++,8,17,5,public,5,17
167,NVIDIA,kubevirt-gpu-device-plugin,Go,25317,168,54,public,54,168
168,NVIDIA,l2fwd-nv,C++,201,56,15,public,15,56
169,NVIDIA,LDDL,Python,4211,30,9,public,9,30
170,NVIDIA,libcudacxx,C++,13953,2288,196,public,196,2288
171,NVIDIA,libdeflate,,1192,9,0,public,0,9
172,NVIDIA,libglvnd,C,3490,450,91,public,91,450
173,NVIDIA,libnvidia-container,C,2084419,616,166,public,166,616
174,NVIDIA,linux-firmware,C,738144,3,0,public,0,3
175,NVIDIA,MagnumIO,C++,186300,39,12,public,12,39
176,NVIDIA,MatX,C++,33284,785,53,public,53,785
177,NVIDIA,MAXINE-AFX-SDK,C,43565,114,24,public,24,114
178,NVIDIA,MAXINE-AR-SDK,C,47874,672,88,public,88,672
179,NVIDIA,MAXINE-VFX-SDK,C,51347,203,52,public,52,203
180,NVIDIA,mcmc-bnn-example,C++,36,12,2,public,2,12
181,NVIDIA,MDL-SDK,C++,101600,450,80,public,80,450
182,NVIDIA,MegaMolBART,Python,60391,90,20,public,20,90
183,NVIDIA,Megatron-LM,Python,4401,6395,1396,public,1396,6395
184,NVIDIA,mellotron,Jupyter Notebook,3457,813,182,public,182,813
185,NVIDIA,mig-parted,Go,6864,107,28,public,28,107
186,NVIDIA,Milano,Python,359,151,24,public,24,151
187,NVIDIA,MinkowskiEngine,Python,15315,2101,302,public,302,2101
188,NVIDIA,mlperf-common,C++,30,18,7,public,7,18
189,NVIDIA,mods-kernel-driver,C,241,9,3,public,3,9
190,NVIDIA,modulus,Python,4338,321,51,public,51,321
191,NVIDIA,modulus-launch,Python,24825,42,24,public,24,42
192,NVIDIA,modulus-sym,Python,163381,58,28,public,28,58
193,NVIDIA,modulus-toolchain,Python,14428,15,5,public,5,15
194,NVIDIA,mpi-acx,Cuda,45,29,4,public,4,29
195,NVIDIA,multi-gpu-programming-models,Cuda,337,400,92,public,92,400
196,NVIDIA,mxnet_to_onnx,Python,32,56,12,public,12,56
197,NVIDIA,nccl,C++,3116,2415,646,public,646,2415
198,NVIDIA,nccl-tests,Cuda,74,507,171,public,171,507
199,NVIDIA,nebula-nsight,Java,7404,1,3,public,3,1
200,NVIDIA,NeMo,Python,236045,7943,1805,public,1805,7943
201,NVIDIA,NeMo-Guardrails,Python,13957,2259,172,public,172,2259
202,NVIDIA,NeMo-Megatron-Launcher,Python,45181,182,54,public,54,182
203,NVIDIA,NeMo-speech-data-processor,Python,371,29,4,public,4,29
204,NVIDIA,NeMo-text-processing,Python,7744,154,42,public,42,154
205,NVIDIA,nephele,HCL,97,25,12,public,12,25
206,NVIDIA,nephele-packages,Makefile,63,2,5,public,5,2
207,NVIDIA,ngc-container-environment-modules,Lua,109,23,7,public,7,23
208,NVIDIA,ngc-container-replicator,Python,102,24,12,public,12,24
209,NVIDIA,ngc-examples,Python,88,20,10,public,10,20
210,NVIDIA,nsight-aftermath-samples,C,1144,37,11,public,11,37
211,NVIDIA,nsight-training,C,98026,84,26,public,26,84
212,NVIDIA,nsight-vscode-edition,TypeScript,4084,51,6,public,6,51
213,NVIDIA,nv-wavenet,Cuda,6851,725,126,public,126,725
214,NVIDIA,nvaitc-toolkit,Dockerfile,2230,11,5,public,5,11
215,NVIDIA,nvapi,C,24954,33,1,public,1,33
216,NVIDIA,nvbandwidth,C++,72,92,10,public,10,92
217,NVIDIA,nvbench,Cuda,570,284,48,public,48,284
218,NVIDIA,nvbench_demo,Cuda,3,7,2,public,2,7
219,NVIDIA,nvcomp,C++,1650,465,68,public,68,465
220,NVIDIA,NVFlare,Python,33187,432,122,public,122,432
221,NVIDIA,nvgpu,C,321,14,8,public,8,14
222,NVIDIA,nvidia-container-runtime,Makefile,569288,1077,169,public,169,1077
223,NVIDIA,nvidia-container-toolkit,Go,8770,419,80,public,80,419
224,NVIDIA,nvidia-docker,Makefile,19847,16741,2120,public,2120,16741
225,NVIDIA,nvidia-gcp-samples,Python,94094,19,7,public,7,19
226,NVIDIA,nvidia-installer,C,2472,116,30,public,30,116
227,NVIDIA,nvidia-modprobe,C,312,62,16,public,16,62
228,NVIDIA,nvidia-persistenced,C,314,43,14,public,14,43
229,NVIDIA,nvidia-query-resource-opengl,C,24,13,9,public,9,13
230,NVIDIA,nvidia-settings,C,11206,275,78,public,78,275
231,NVIDIA,nvidia-terraform-modules,HCL,87,22,7,public,7,22
232,NVIDIA,nvidia-xconfig,C,681,35,13,public,13,35
233,NVIDIA,NVIDIAOpticalFlowSDK,C,11,52,10,public,10,52
234,NVIDIA,NVIDIA_AI_Enterprise_AzureML,Python,84134,11,4,public,4,11
235,NVIDIA,nvindex-cloud,Cuda,2214,9,5,public,5,9
236,NVIDIA,NvPipe,Cuda,33506,383,99,public,99,383
237,NVIDIA,nvsci,C,24,16,4,public,4,16
238,NVIDIA,nvscic2c,,174,11,7,public,7,11
239,NVIDIA,NVSM,Python,6187,5,3,public,3,5
240,NVIDIA,nvstrings,Python,49,11,3,public,3,11
241,NVIDIA,nvtrust,,385883,112,11,public,11,112
242,NVIDIA,NVTX,C,2504,170,34,public,34,170
243,NVIDIA,nvtx-plugins,Python,1647,68,15,public,15,68
244,NVIDIA,nvvl,C++,2575,668,86,public,86,668
245,NVIDIA,O-RAN-Archive,,71363,2,1,public,1,2
246,NVIDIA,object-detection-tensorrt-example,Python,55,194,61,public,61,194
247,NVIDIA,online-softmax,Cuda,5,21,6,public,6,21
248,NVIDIA,onnx-tensorrt,,0,1,0,public,0,1
249,NVIDIA,open-gpu-doc,C,3019,1166,87,public,87,1166
250,NVIDIA,open-gpu-kernel-modules,C,33904,13386,1008,public,1008,13386
251,NVIDIA,OpenSeq2Seq,Python,60230,1514,374,public,374,1514
252,NVIDIA,optee_os-nvidia,C,1442,8,4,public,4,8
253,NVIDIA,optix-toolkit,CMake,25264,60,10,public,10,60
254,NVIDIA,OptiX_Apps,C++,17678,222,38,public,38,222
255,NVIDIA,otk-cmake,CMake,32,3,1,public,1,3
256,NVIDIA,otk-demand-loading,C++,590,15,4,public,4,15
257,NVIDIA,otk-examples,C++,1257,11,4,public,4,11
258,NVIDIA,otk-memory,C++,99,6,2,public,2,6
259,NVIDIA,otk-omm-baking,C++,1077,6,3,public,3,6
260,NVIDIA,otk-pyoptix,C++,8730,19,3,public,3,19
261,NVIDIA,otk-shader-util,C++,4297,9,0,public,0,9
262,NVIDIA,packer-builder-xenserver,Go,1285,4,3,public,3,4
263,NVIDIA,partialconv,Python,477,1163,214,public,214,1163
264,NVIDIA,pix2pixHD,Python,57018,6322,1366,public,1366,6322
265,NVIDIA,PixelView,Python,28,6,4,public,4,6
266,NVIDIA,PLDM-unpack,Python,81,1,0,public,0,1
267,NVIDIA,PRBench,C++,71,33,15,public,15,33
268,NVIDIA,presto-mapd-connector,Java,13,5,3,public,3,5
269,NVIDIA,ProViz-AI-Samples,C++,106,16,5,public,5,16
270,NVIDIA,proxyfs,Go,39157,62,25,public,25,62
271,NVIDIA,proxyfs-jrpc-client,C,434,2,5,public,5,2
272,NVIDIA,proxyfs-vfs,C,472,2,6,public,6,2
273,NVIDIA,ptp-nsight,Java,113627,2,10,public,10,2
274,NVIDIA,pynvrtc,Python,17,79,23,public,23,79
275,NVIDIA,PyProf,Python,364,442,44,public,44,442
276,NVIDIA,python-jetson,Python,28,17,10,public,10,17
277,NVIDIA,pyxis,C,218,186,26,public,26,186
278,NVIDIA,Q2RTX,C,9000,1159,176,public,176,1159
279,NVIDIA,radtts,Roff,1904,240,32,public,32,240
280,NVIDIA,rapidAligner,Jupyter Notebook,301,21,5,public,5,21
281,NVIDIA,remorac,OCaml,253,39,7,public,7,39
282,NVIDIA,retinanet-examples,Python,432,868,277,public,277,868
283,NVIDIA,Rivermax,C++,193,34,10,public,10,34
284,NVIDIA,rtx_compute_samples,C++,685,63,13,public,13,63
285,NVIDIA,runx,Python,58,630,40,public,40,630
286,NVIDIA,sampleQAT,Python,35,72,19,public,19,72
287,NVIDIA,scenejs,JavaScript,167497,7,8,public,8,7
288,NVIDIA,scm_test,,0,1,0,public,0,1
289,NVIDIA,self-intersection-avoidance,GLSL,5,13,2,public,2,13
290,NVIDIA,semantic-segmentation,Python,4272,1710,380,public,380,1710
291,NVIDIA,sentiment-discovery,Python,57328,1054,206,public,206,1054
292,NVIDIA,SKA-gpu-degrid,Cuda,35,4,5,public,5,4
293,NVIDIA,SKA-gpu-direct-convolve,,0,1,0,public,0,1
294,NVIDIA,SKA-gpu-grid,Cuda,67,5,5,public,5,5
295,NVIDIA,SKA-gpu-multiscale-clean,C++,22,4,5,public,5,4
296,NVIDIA,SKA-gpu-reproject,,0,1,0,public,0,1
297,NVIDIA,SKA-gpu-stefcal,Cuda,12,3,5,public,5,3
298,NVIDIA,sortedmap,Go,176,12,3,public,3,12
299,NVIDIA,spark-rapids,Scala,49817,577,193,public,193,577
