,owner,repository_name,language,size,watchers_count,forks_count,visibility,forks,watchers
104,nasa,CVAE,,0,2,0,public,0,2
105,nasa,daa-displays,TypeScript,224897,34,13,public,13,34
106,nasa,dagvision,,0,1,0,public,0,1
107,nasa,daidalus,C++,30149,46,13,public,13,46
108,nasa,data-nasa-gov-frontpage,SCSS,4960,9,10,public,10,9
109,nasa,data.nasa.gov,CSS,397,30,34,public,34,30
110,nasa,DAVEtools,Java,65944,30,22,public,22,30
111,nasa,dawn-grand-toolbox,IDL,121,5,2,public,2,5
112,nasa,dcapp,C++,25984,3,0,public,0,3
113,nasa,DdsJs,C++,129,6,2,public,2,6
114,nasa,delete,,0,4,0,public,0,4
115,nasa,delta,Python,10358,187,62,public,62,187
116,nasa,denem,,0,2,0,public,0,2
117,nasa,DERT,Java,422854,141,66,public,66,141
118,nasa,dictionaries,HTML,23287,55,32,public,32,55
119,nasa,digital-strategy,HTML,297,38,35,public,35,38
120,nasa,DON-Federate-HLA2MPC,HTML,206,4,6,public,6,4
121,nasa,dorado-scheduling,Python,13530,16,7,public,7,16
122,nasa,dorado-sensitivity,Jupyter Notebook,495,6,1,public,1,6
123,nasa,dorado-streamlit,Python,349,3,1,public,1,3
124,nasa,drf,,0,2,0,public,0,2
125,nasa,DS,C,17320,38,29,public,29,38
126,nasa,dss,Python,15528,5,1,public,1,5
127,nasa,DTN-Network-Monitoring,,0,2,0,public,0,2
128,nasa,DTNME,C++,3671,14,8,public,8,14
129,nasa,DualPol,Jupyter Notebook,4430,37,37,public,37,37
130,nasa,EADINLite,C++,3244,51,31,public,31,51
131,nasa,earth-imagery-api,Python,1644,10,2,public,2,10
132,nasa,Earthdata-cloud-hub,Jupyter Notebook,11469,7,5,public,5,7
133,nasa,earthdata-download,TypeScript,9060,14,6,public,6,14
134,nasa,earthdata-search,JavaScript,180377,700,226,public,226,700
135,nasa,earthdata-varinfo,Python,2710,8,2,public,2,8
136,nasa,ecco-interactive-solution-evaluator,JavaScript,15502,4,0,public,0,4
137,nasa,ECI,C,1929,32,14,public,14,32
138,nasa,ECOSTRESS-Data-Resources,,13,4,0,public,0,4
139,nasa,edsc-echoforms,JavaScript,44598,9,20,public,20,9
140,nasa,edsc-geo,JavaScript,792,5,13,public,13,5
141,nasa,edsc-smart-handoffs,JavaScript,832,4,1,public,1,4
142,nasa,edsc-timeline,JavaScript,12921,19,12,public,12,19
143,nasa,EdsLib,C,1722,21,12,public,12,21
144,nasa,eefs,C,387,232,94,public,94,232
145,nasa,elf2cfetbl,C,240,23,26,public,26,23
146,nasa,EMIT-Data-Resources,HTML,60543,52,36,public,36,52
147,nasa,EMTAT,MATLAB,17087,17,14,public,14,17
148,nasa,EMTG,C++,24312,28,13,public,13,28
149,nasa,eo-metadata-tools,Python,221,25,12,public,12,25
